
PLUGINS [ 413 ]

Packages table
--------------

+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| Count | Name                     | Slug                        | Version       | Installed     | Enabled |
| 88    | OnWebChat                | onwebchat                   | v1.2          | not installed |         |
| 89    | Clicksend Form Notif...  | grav-form-notifier          | v1.0.0        | not installed |         |
| 90    | Shortcode Chart.js       | shortcode-chartjs           | v1.0.1        | not installed |         |
| 91    | Shortcode Ruby           | shortcode-ruby              | v1.0.0        | not installed |         |
| 92    | Auto Author              | auto-author                 | v0.1.0        | not installed |         |
| 93    | FetchWP                  | fetchwp                     | v0.6.0        | not installed |         |
| 94    | PasswordGen              | passwordgen                 | v0.1.4        | not installed |         |
| 95    | Simple Responsive Ta...  | simple-responsive-tables    | v1.1.1        | not installed |         |
| 96    | Speech Bubble            | speech-bubble               | v2.1.0        | not installed |         |
| 97    | Private                  | private                     | v1.0.9        | not installed |         |
| 98    | View                     | view                        | v1.3.2        | not installed |         |
| 99    | Instagram                | instagram                   | v1.3.0        | not installed |         |
| 100   | Login Plugin OAuth A...  | login-oauth                 | v1.4.0        | not installed |         |
| 101   | Amazon Products          | amazon-products             | v0.5.0        | not installed |         |
| 102   | Codepen Embed            | codepen-embed               | v0.1.0        | not installed |         |
| 103   | Admin Addon Media So...  | admin-addon-media-sort      | v0.1.0        | not installed |         |
| 104   | Markdown RubyText        | rubytext                    | v3.1.4        | not installed |         |
| 105   | Haml                     | haml                        | v0.1.0        | not installed |         |
| 106   | GoSquared Analytics      | gosquared                   | v0.1.6        | not installed |         |
| 107   | Private Site             | private-site                | v0.2.0        | not installed |         |
| 108   | BibleRef                 | bibleref                    | v0.1.1        | not installed |         |
| 109   | Markdown Task Lists      | markdown-tasklists          | v1.0.0        | not installed |         |
| 110   | Lazy Image               | lazy-image                  | v1.0.3        | not installed |         |
| 111   | Datatables               | datatables                  | v1.0.3        | not installed |         |
| 112   | MathJax                  | mathjax                     | v1.6.0        | not installed |         |
| 113   | Graveyard                | graveyard                   | v1.1.0        | not installed |         |
| 114   | Atools                   | atools                      | v0.1.1        | not installed |         |
| 115   | JSComments               | jscomments                  | v2.2.1        | not installed |         |
| 116   | Scrolled Table Short...  | scrolled-table-shortcode    | v1.0.1        | not installed |         |
| 117   | Map Quest                | map-quest                   | v1.0.7        | not installed |         |
| 118   | Persistent Data Plug...  | persistent-data             | v1.2.1        | not installed |         |
| 119   | Google Maps              | google-maps                 | v1.0.10       | not installed |         |
| 120   | Crawler Detect           | crawler-detect              | v0.1.0        | not installed |         |
| 121   | Import                   | import                      | v1.1.1        | not installed |         |
| 122   | Cookie Consent           | cookieconsent               | v0.4.0        | not installed |         |
| 123   | Sequential Form          | sequential-form             | v1.0.7        | not installed |         |
| 124   | Latest Tweets            | latest-tweets               | v0.1.6        | not installed |         |
| 125   | Count Views              | count-views                 | v3.0.0        | not installed |         |
| 126   | Shopping Cart Person...  | shoppingcart-personalizer   | v1.0.1        | not installed |         |
| 127   | Babel                    | babel                       | v1.1.2        | not installed |         |
| 128   | Shopping Cart            | shoppingcart                | v1.2.3        | not installed |         |
| 129   | Content Edit             | content-edit                | v1.3.0        | not installed |         |
| 130   | Backup Manager           | backup-manager              | v0.1.6        | not installed |         |
| 131   | DarkSky Weather          | darkskyweather              | v0.1.2        | not installed |         |
| 132   | Webmention               | webmention                  | v1.3.1        | not installed |         |
| 133   | Slack Webhook            | webhook                     | v0.1.0        | not installed |         |
| 134   | Fortune                  | fortune                     | v1.0.0        | not installed |         |
| 135   | SEO                      | seo                         | v2.3.5        | not installed |         |
| 136   | Web Push Notificatio...  | webpush                     | v1.0.1        | not installed |         |
| 137   | Smooch Chat              | smoochchat                  | v1.0.0        | not installed |         |
| 138   | CDN                      | cdn                         | v1.5.0        | not installed |         |
| 139   | Dark Admin               | darkadmin                   | v1.0.0        | not installed |         |
| 140   | Language Selector        | language-selector           | v1.1.0        | not installed |         |
| 141   | GDPR Privacy Setup       | gdprprivacysetup            | v0.1.1        | not installed |         |
| 142   | BibLaTeX                 | biblatex                    | v1.0.4        | not installed |         |
| 143   | GitHub                   | github                      | v2.0.0        | not installed |         |
| 144   | Social Counters          | social-counters             | v2.0.0        | not installed |         |
| 145   | Admin Media Replace      | admin-media-replace         | v1.0.4        | not installed |         |
